Marca temporal,watch,chapters,genres,platforms,fav,favRate,birthDate,gender,current
27/03/2024 11:01:58,Si,3,"Drama, Comedia, Crimen, Misterio, Romance","Netflix, Amazon Prime, Disney+, Star+, HBO",Bojack Horseman,8.8,16/12/1997,Femenino,One Day
27/03/2024 11:04:54,Si,2,"Drama, Crimen, Misterio","Amazon Prime, Star+, HBO",Mindhunter,8.6,9/02/1971,Masculino,El régimen
27/03/2024 11:06:39,Si,5,"Ciencia Ficción, Terror","Netflix, Cuevana",Dark,8.7,24/08/2002,Masculino,Black Knight
27/03/2024 11:07:58,Si,3,"Drama, Comedia, Acción, Ciencia Ficción, Crimen, Misterio, Documental","Netflix, Stremio",Breaking Bad,9.5,21/11/2002,Masculino,The Gentleman
27/03/2024 11:08:51,Si,6,"Drama, Animadas, Romance, Terror","Netflix, Amazon Prime, Disney+, Star+, HBO",Fleabag,8.7,7/01/2003,Masculino,Dear child
27/03/2024 11:08:58,No,0,,,,,,,
27/03/2024 11:11:53,Si,10,"Drama, Comedia, Acción, Reality show, Documental, Romance","Netflix, HBO",Casi Angeles,6.7,11/06/2003,Femenino,Dubai Bling
27/03/2024 11:12:36,No,0,,,,,,,
27/03/2024 11:17:41,Si,2,"Acción, Ciencia Ficción, Animadas, Superheores","Netflix, Disney+, Star+",The Mandalorian,8.7,18/06/2004,Masculino,The Last of Us
27/03/2024 11:18:54,Si,14,"Comedia, Ciencia Ficción",Netflix,The Office,9,28/05/2002,Masculino,Brooklyn 99
27/03/2024 11:21:31,No,0,,,,,,,
27/03/2024 11:22:53,Si,7,"Comedia, Acción, Crimen, Misterio, Animadas, Documental","Netflix, Disney+",How I Met Your Mother,8.3,8/10/2003,Masculino,Drive to survive
27/03/2024 11:24:47,No,0,,,,,,,
27/03/2024 11:27:05,Si,5,"Acción, Ciencia Ficción, Crimen, Misterio, Animadas","Netflix, Amazon Prime, Disney+, HBO",Big Bang Theory,8.1,30/03/2004,Masculino,Sandman
27/03/2024 11:53:38,Si,1,"Comedia, Acción, Ciencia Ficción, Crimen, Misterio, Superheores","Netflix, Star+",How I Met Your Mother,8.3,18/09/2003,Masculino,The gentlemen 
27/03/2024 12:14:23,No,0,,,,,,,
27/03/2024 12:43:28,Si,5,"Comedia, Crimen, Misterio, Animadas, Romance","Netflix, Disney+, Star+, HBO",Gossip Girl,7.5,20/01/2003,Femenino,Downtown Abbey y The Gentlemen
27/03/2024 13:09:55,Si,2,"Ciencia Ficción, Romance","Netflix, Amazon Prime, Disney+, HBO",Pretty Little Liars,7.4,5/06/2004,Femenino,El problema de los tres cuerpos
27/03/2024 15:06:04,Si,7,"Comedia, Ciencia Ficción, Romance, Superheores","Netflix, Amazon Prime, Disney+, Star+, HBO",Supernatural ,8.4,27/02/2004,Femenino,Game of thrones 
27/03/2024 15:36:11,Si,5,"Drama, Acción, Ciencia Ficción, Animadas","Netflix, Disney+",One Piece,9,17/02/2004,No binario,One Piece
27/03/2024 16:13:18,Si,8,"Drama, Ciencia Ficción, Crimen, Misterio, Reality show","Netflix, HBO",Teen Titans,7.9,7/02/2004,Femenino,"El problema de los tres cuerpos, habilidad física 100"
27/03/2024 20:34:24,Si,13,"Drama, Comedia, Acción, Crimen, Misterio, Animadas, Romance, Superheores, Anime","Netflix, Stremio, Crunchyroll",Total Drama,7.4,9/09/2003,Masculino,Sousou no Frieren
29/03/2024 21:04:44,Si,2,"Ciencia Ficción, Crimen, Misterio, Terror","Netflix, Disney+",Dark,8.7,21/07/2002,Masculino,El Problema de los Tres Cuerpos
2/04/2024 18:08:37,Si,2,"Crimen, Misterio","Netflix, Amazon Prime, Star+, HBO",The Sinner,7.9,8/07/2002,Femenino,Griselda
3/04/2024 8:11:17,Si,5,"Comedia, Ciencia Ficción, Crimen, Misterio, Reality show","Netflix, Star+, Myflixer",You,7.7,2/06/2004,Masculino,Ninguna
3/04/2024 8:44:52,Si,4,"Drama, Comedia, Ciencia Ficción, Romance","Netflix, HBO",The Office,9,19/07/2003,Femenino,The Office
3/04/2024 8:49:31,Si,3,"Drama, Comedia, Romance","Netflix, Amazon Prime",Gossip Girl,7.5,7/10/2002,Femenino,One Tree Hill
3/04/2024 8:52:09,Si,2,"Drama, Comedia, Acción, Ciencia Ficción, Crimen, Misterio, Reality show, Romance, Superheores","Cable, Netflix, Amazon Prime, Disney+, Star+, HBO",Pretty Little Liars,7.4,9/04/2004,Masculino,Pretty Little Liars
3/04/2024 9:40:51,Si,4,"Comedia, Acción, Documental, Romance, Superheores","Netflix, Disney+",Friends,8.9,13/08/2003,Femenino,Formula 1: Drive to Survive
3/04/2024 11:04:43,Si,1,"Comedia, Acción, Ciencia Ficción, Crimen, Misterio, Documental, Superheores","Netflix, Disney+, Star+",Suits,8.4,16/11/2003,Masculino,Tulsa King 
6/04/2024 23:46:45,Si,3,"Drama, Comedia","Netflix, Star+",You,7.7,2/11/2006,Femenino,gossip girl